,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.15,Northern California,1077992136700,1483764619538,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346720,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346720&format=geojson,,,,,automatic,0,71,nc,21346720,",nc21346720,",",nc,",",nearby-cities,origin,phase-data,",27,0.009009,0.08,61,md,earthquake,M 2.2 - Northern California,24,Point,"[-122.8241667, 38.8195, 1.138]",24
0,2.08,Central California,1077990799850,1483764615855,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346718,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346718&format=geojson,,,,,automatic,0,67,nc,21346718,",nc21346718,",",nc,",",nearby-cities,origin,phase-data,",16,0.09099,0.05,176,md,earthquake,M 2.1 - Central California,25,Point,"[-121.0493333, 35.714, 6.063]",25
0,2.25,"10km N of Ocotillo Wells, CA",1077984653210,1459623420847,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986965,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986965&format=geojson,,,,,reviewed,0,78,ci,9986965,",ci9986965,",",ci,",",nearby-cities,origin,phase-data,",38,0.1219,0.26,30,ml,earthquake,"M 2.3 - 10km N of Ocotillo Wells, CA",26,Point,"[-116.1193333, 33.2315, 7.323]",26
0,2.25,"9km WNW of Alberto Oviedo Mota, B.C., MX",1077976961270,1455645898935,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986941&format=geojson,,,,,reviewed,0,78,ci,9986941,",ci9986941,",",ci,",",nearby-cities,origin,phase-data,",14,0.5174,0.43,226,ml,earthquake,"M 2.3 - 9km WNW of Alberto Oviedo Mota, B.C., MX",27,Point,"[-115.2495, 32.2711667, 6.987]",27
0,2.25,Northern California,1077970281540,1483764579320,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346692,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346692&format=geojson,,,,,automatic,0,78,nc,21346692,",nc21346692,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",33,0.005405,0.06,54,md,earthquake,M 2.3 - Northern California,28,Point,"[-122.762, 38.7955, 0.68]",28
0,2.04,"12km ENE of Julian, CA",1077966533880,1459580061008,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986921,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986921&format=geojson,,,,,reviewed,0,64,ci,9986921,",ci9986921,",",ci,",",nearby-cities,origin,phase-data,",29,0.1015,0.28,58,ml,earthquake,"M 2.0 - 12km ENE of Julian, CA",29,Point,"[-116.4773333, 33.106, 12.401]",29
0,2.25,Central California,1077946812230,1483764500428,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346648,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346648&format=geojson,,,,,automatic,0,78,nc,21346648,",nc21346648,",",nc,",",nearby-cities,origin,phase-data,",24,0.03874,0.13,65,md,earthquake,M 2.3 - Central California,30,Point,"[-121.0351667, 35.656, 5.715]",30
0,3.25,Central California,1077943392950,1483764489919,,https://earthquake.usgs.gov/earthquakes/eventpage/nc68008673,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc68008673&format=geojson,,,,,reviewed,0,162,nc,68008673,",nc68008673,",",nc,",",nearby-cities,origin,phase-data,",15,0.07207,0.11,205,md,earthquake,M 3.3 - Central California,31,Point,"[-121.0605, 35.7281667, 5.183]",31
0,3.46,Central California,1077943339420,1483764485170,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346640,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346640&format=geojson,,,,,automatic,0,184,nc,21346640,",nc21346640,usp000cnkm,",",nc,us,",",focal-mechanism,impact-text,nearby-cities,origin,phase-data,",69,0.07568,0.1,74,ml,earthquake,M 3.5 - Central California,32,Point,"[-121.0605, 35.7191667, 4.996]",32
0,2.3,Central California,1077941270420,1483764468660,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346628,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346628&format=geojson,,,,,reviewed,0,81,nc,21346628,",nc21346628,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",36,0.03423,0.06,58,md,earthquake,M 2.3 - Central California,33,Point,"[-121.1705, 36.6305, 4.112]",33
0,2,"45km W of Shoshone, California",1077940520540,1455689845721,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986881,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986881&format=geojson,,,,,reviewed,0,62,ci,9986881,",ci9986881,",",ci,",",nearby-cities,origin,phase-data,",6,0.09675,0.2,227,mh,earthquake,"M 2.0 - 45km W of Shoshone, California",34,Point,"[-116.769, 35.9123333, 3.13]",34
0,2.02,"10km E of Puebla, B.C., MX",1077939950010,1455654668431,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986877,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986877&format=geojson,,,,,reviewed,0,63,ci,9986877,",ci9986877,",",ci,",",nearby-cities,origin,phase-data,",13,0.2875,0.38,188,ml,earthquake,"M 2.0 - 10km E of Puebla, B.C., MX",35,Point,"[-115.2433333, 32.551, 7.007]",35
0,3.3,Washington,1077933707930,1491080158540,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10603943,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10603943&format=geojson,,,3.54,,reviewed,0,168,uw,10603943,",usp000cnk2,uw10603943,",",us,uw,",",impact-text,origin,phase-data,shakemap,",34,0.04168,0.33,117,md,earthquake,M 3.3 - Washington,36,Point,"[-119.0205, 46.0363333, 0.718]",36
0,2.31,Central California,1077927231870,1483764441535,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506079,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506079&format=geojson,,,,,automatic,0,82,nc,30506079,",nc30506079,",",nc,",",nearby-cities,origin,phase-data,",36,0.05586,0.09,49,md,earthquake,M 2.3 - Central California,37,Point,"[-121.0838333, 35.7256667, 8.065]",37
0,2.5,Washington,1077923384980,1469239251650,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10603923,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10603923&format=geojson,,,,,reviewed,0,96,uw,10603923,",uw10603923,",",uw,",",origin,phase-data,",7,0.08598,0.05,84,md,explosion,M 2.5 Explosion - Washington,38,Point,"[-122.7808333, 46.7371667, 0.88]",38
