,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.25,Northern California,624753641220,1481291637803,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091355,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091355&format=geojson,,,,,reviewed,0,24,nc,20091355,",nc20091355,",",nc,",",nearby-cities,origin,phase-data,",10,0.01712,0.07,148,md,earthquake,M 1.3 - Northern California,29,Point,"[-121.7995, 37.0218333, 3.469]",29
0,1.73,Northern California,624753613630,1481291632880,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091342,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091342&format=geojson,,,,,reviewed,0,46,nc,20091342,",nc20091342,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",34,0.02252,0.05,31,md,earthquake,M 1.7 - Northern California,30,Point,"[-121.7826667, 37.045, 3.318]",30
0,1.42,Northern California,624753499640,1481291621610,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091353,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091353&format=geojson,,,,,reviewed,0,31,nc,20091353,",nc20091353,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",26,0.004505,0.05,94,md,earthquake,M 1.4 - Northern California,31,Point,"[-121.6896667, 36.9535, 8.194]",31
0,2.34,Northern California,624753433300,1481291611760,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091352,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091352&format=geojson,,,,,reviewed,0,84,nc,20091352,",nc20091352,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",62,0.02703,0.07,75,md,earthquake,M 2.3 - Northern California,32,Point,"[-121.7268333, 36.9633333, 14.486]",32
0,1.02,Northern California,624753367910,1481291605404,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091341,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091341&format=geojson,,,,,reviewed,0,16,nc,20091341,",nc20091341,",",nc,",",nearby-cities,origin,phase-data,",14,0.03784,0.05,58,md,earthquake,M 1.0 - Northern California,33,Point,"[-121.6395, 36.9808333, 4.654]",33
0,1.28,Northern California,624753121830,1481291601263,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091340,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091340&format=geojson,,,,,reviewed,0,25,nc,20091340,",nc20091340,",",nc,",",nearby-cities,origin,phase-data,",17,0.09189,0.04,110,md,earthquake,M 1.3 - Northern California,34,Point,"[-121.8323333, 36.886, 0.131]",34
0,1.63,Northern California,624752776460,1481291588660,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091351,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091351&format=geojson,,,,,reviewed,0,41,nc,20091351,",nc20091351,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",37,0.05586,0.05,78,md,earthquake,M 1.6 - Northern California,35,Point,"[-121.742, 36.9948333, 13.241]",35
0,1.84,Northern California,624752711230,1481291581680,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091337,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091337&format=geojson,,,,,reviewed,0,52,nc,20091337,",nc20091337,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",29,0.02703,0.07,98,md,earthquake,M 1.8 - Northern California,36,Point,"[-121.7268333, 36.9605, 12.566]",36
0,1.22,Northern California,624752663150,1481291573604,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166868,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166868&format=geojson,,,,,reviewed,0,23,nc,1166868,",nc1166868,",",nc,",",nearby-cities,origin,phase-data,",7,0.07297,0.01,164,md,earthquake,M 1.2 - Northern California,37,Point,"[-121.901, 37.0985, 10.021]",37
0,2.95,Northern California,624752363990,1481291565220,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091335,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091335&format=geojson,,,,,reviewed,0,134,nc,20091335,",nc20091335,usp00040xp,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",80,0.01712,0.08,52,md,earthquake,M 3.0 - Northern California,38,Point,"[-121.793, 37.0405, 4.558]",38
