,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
63,63,earthquake,1989-10-18 21:27:18.500,1.82,Northern California,reviewed,0,51,nc,41.0,0.05405,0.11,101.0,md,-121.9925,37.1198333,18.416
64,64,quarry blast,1989-10-18 21:26:56.960,2.3,"16km NNE of Apple Valley, CA",reviewed,0,81,ci,0.0,,0.05,128.8,mc,-117.12,34.63,-1.016
65,65,earthquake,1989-10-18 21:25:52.950,1.9,Northern California,reviewed,0,56,nc,31.0,0.04775,0.08,62.0,md,-121.9666667,37.1305,10.826
66,66,earthquake,1989-10-18 21:25:08.770,1.22,Northern California,reviewed,0,23,nc,9.0,0.03153,0.06,94.0,md,-121.787,37.0006667,14.14
67,67,earthquake,1989-10-18 21:24:01.370,1.49,Northern California,reviewed,0,34,nc,30.0,0.01712,0.05,73.0,md,-121.6746667,36.9493333,11.014
68,68,earthquake,1989-10-18 21:22:44.940,1.24,Northern California,reviewed,0,24,nc,5.0,0.01351,0.01,158.0,md,-121.851,37.1061667,4.107
69,69,earthquake,1989-10-18 21:19:51.190,1.74,Northern California,reviewed,0,47,nc,34.0,0.0045049999999999995,0.08,76.0,md,-121.665,36.9346667,5.804
70,70,earthquake,1989-10-18 21:19:07.130,1.09,Northern California,reviewed,0,18,nc,4.0,0.05495,0.0,136.0,md,-121.8595,37.1035,3.384
71,71,earthquake,1989-10-18 21:18:17.230,1.2,Central California,reviewed,0,22,nc,16.0,0.007206999999999999,0.19,53.0,md,-121.5103333,36.9253333,2.068
72,72,earthquake,1989-10-18 21:15:40.230,1.17,Northern California,reviewed,0,21,nc,27.0,0.03514,0.05,71.0,md,-121.7443333,37.0218333,5.449
73,73,earthquake,1989-10-18 21:13:28.000,1.21,Northern California,reviewed,0,23,nc,16.0,0.03784,0.02,162.0,md,-121.9301667,37.0633333,17.721
74,74,earthquake,1989-10-18 21:12:26.270,1.16,Northern California,reviewed,0,21,nc,24.0,0.02072,0.03,67.0,md,-121.7013333,36.9733333,9.374
75,75,earthquake,1989-10-18 21:10:06.540,1.16,Northern California,reviewed,0,21,nc,24.0,0.024319999999999998,0.03,74.0,md,-121.7211667,36.966,13.096
76,76,earthquake,1989-10-18 21:06:31.140,1.4,Northern California,reviewed,0,30,nc,19.0,0.036039999999999996,0.08,56.0,md,-122.0555,37.1948333,12.965
77,77,earthquake,1989-10-18 21:05:53.850,1.65,Northern California,reviewed,0,42,nc,33.0,0.07387,0.05,95.0,md,-121.9103333,37.0663333,15.951
78,78,earthquake,1989-10-18 21:05:53.410,1.97,"San Francisco Bay area, California",reviewed,0,60,nc,12.0,0.08467999999999999,0.02,103.0,md,-121.9623333,37.7606667,8.151
79,79,earthquake,1989-10-18 21:04:44.640,1.18,"San Francisco Bay area, California",reviewed,0,21,nc,5.0,0.08559,0.02,160.0,md,-121.9606667,37.7596667,1.966
80,80,earthquake,1989-10-18 21:02:29.130,1.46,Northern California,reviewed,0,33,nc,23.0,0.002703,0.06,44.0,md,-121.584,36.9591667,3.395
81,81,earthquake,1989-10-18 21:00:49.980,1.1,"San Francisco Bay area, California",reviewed,0,19,nc,4.0,0.02613,0.0,224.0,md,-121.8178333,37.7083333,5.82
82,82,earthquake,1989-10-18 21:00:01.120,1.27,Northern California,reviewed,0,25,nc,22.0,0.01712,0.04,124.0,md,-121.7138333,36.9606667,11.656
83,83,earthquake,1989-10-18 20:59:32.010,1.55,Northern California,reviewed,0,37,nc,31.0,0.04685,0.04,56.0,md,-121.9361667,37.0785,16.158
84,84,earthquake,1989-10-18 20:59:08.150,1.13,Northern California,reviewed,0,20,nc,17.0,0.018019999999999998,0.05,125.0,md,-121.7151667,36.9616667,12.616
85,85,earthquake,1989-10-18 20:53:39.930,1.69,Northern California,reviewed,0,44,nc,28.0,0.05586,0.19,141.0,md,-121.7718333,36.9516667,13.787
86,86,earthquake,1989-10-18 20:51:30.710,1.52,Northern California,reviewed,0,36,nc,22.0,0.05946,0.03,49.0,md,-121.9085,37.1068333,4.259
87,87,earthquake,1989-10-18 20:48:47.770,2.45,Northern California,reviewed,0,92,nc,54.0,0.0045049999999999995,0.06,71.0,md,-121.663,36.9273333,7.824
88,88,earthquake,1989-10-18 20:48:47.410,1.3,Central California,reviewed,0,26,nc,8.0,0.027030000000000002,0.03,120.0,md,-118.8491667,37.5048333,1.947
89,89,earthquake,1989-10-18 20:48:24.720,2.81,Central California,reviewed,0,121,nc,68.0,0.02162,0.09,56.0,md,-121.5963333,36.863,6.189
90,90,earthquake,1989-10-18 20:47:08.900,2.35,Northern California,reviewed,0,85,nc,58.0,0.01892,0.09,37.0,md,-121.7871667,37.0503333,6.038
91,91,earthquake,1989-10-18 20:44:23.800,1.06,Northern California,reviewed,0,17,nc,4.0,0.04595,0.0,165.0,md,-121.9063333,37.1288333,2.515
92,92,earthquake,1989-10-18 20:43:38.750,1.16,Northern California,reviewed,0,21,nc,22.0,0.04054,0.04,133.0,md,-121.7435,37.0153333,10.564
93,93,earthquake,1989-10-18 20:43:01.440,1.21,Northern California,reviewed,0,23,nc,21.0,0.002703,0.07,44.0,md,-121.5843333,36.9596667,3.396
94,94,earthquake,1989-10-18 20:42:07.010,2.56,Northern California,reviewed,0,101,nc,67.0,0.05315,0.06,64.0,md,-121.8511667,37.0576667,11.673
95,95,earthquake,1989-10-18 20:39:38.980,2.86,Northern California,reviewed,0,126,nc,74.0,0.02793,0.07,62.0,md,-121.9956667,37.1576667,11.554
96,96,earthquake,1989-10-18 20:37:12.570,3.3,Northern California,reviewed,0,168,nc,79.0,0.042339999999999996,0.08,66.0,ml,-121.7155,37.0128333,4.623
97,97,earthquake,1989-10-18 20:35:44.510,1.97,Northern California,reviewed,0,60,nc,46.0,0.04144,0.1,63.0,md,-121.7796667,37.0521667,4.73
98,98,earthquake,1989-10-18 20:33:46.070,1.91,Northern California,reviewed,0,56,nc,44.0,0.04144,0.08,62.0,md,-121.9825,37.1468333,13.694
99,99,earthquake,1989-10-18 20:29:05.820,1.75,Northern California,reviewed,0,47,nc,54.0,0.01171,0.06,73.0,md,-121.6858333,36.9438333,9.978
100,100,earthquake,1989-10-18 20:27:53.590,1.73,Northern California,reviewed,0,46,nc,56.0,0.025230000000000002,0.05,75.0,md,-121.7245,36.9615,13.194
101,101,earthquake,1989-10-18 20:13:19.190,1.48,Northern California,reviewed,0,34,nc,6.0,0.03063,0.08,98.0,md,-121.9131667,37.1423333,7.658
102,102,earthquake,1989-10-18 20:10:36.920,1.26,Northern California,reviewed,0,24,nc,20.0,0.05225,0.03,131.0,md,-121.7976667,37.0658333,9.29
103,103,earthquake,1989-10-18 20:06:46.070,1.03,Northern California,reviewed,0,16,nc,13.0,0.01892,0.01,82.0,md,-121.9838333,37.1831667,7.654
104,104,earthquake,1989-10-18 20:02:48.960,1.85,Northern California,reviewed,0,53,nc,17.0,0.024319999999999998,0.05,76.0,md,-121.9821667,37.1781667,7.419
105,105,earthquake,1989-10-18 20:02:32.040,1.59,Northern California,reviewed,0,39,nc,20.0,0.02162,0.03,76.0,md,-121.9831667,37.1803333,7.334
106,106,earthquake,1989-10-18 20:02:15.310,2.03,Northern California,reviewed,0,63,nc,44.0,0.08288,0.04,61.0,md,-121.9536667,37.0888333,16.021
107,107,earthquake,1989-10-18 20:00:10.640,1.04,Northern California,reviewed,0,17,nc,25.0,0.025230000000000002,0.03,73.0,md,-121.7153333,36.972,11.162
108,108,earthquake,1989-10-18 19:51:48.660,1.12,Northern California,reviewed,0,19,nc,14.0,0.03333,0.04,93.0,md,-121.8755,37.1143333,3.141
109,109,earthquake,1989-10-18 19:49:35.730,1.84,Northern California,reviewed,0,52,nc,17.0,0.008108,0.05,78.0,md,-121.6718333,36.9285,9.946
110,110,earthquake,1989-10-18 19:48:28.880,2.19,"2km ENE of Heber, CA",reviewed,0,74,ci,0.0,,0.196,153.4,mc,-115.51,32.741,14.879
111,111,earthquake,1989-10-18 19:47:39.010,3.2,Northern California,reviewed,0,158,nc,72.0,0.04955,0.07,49.0,ml,-121.9076667,37.1241667,9.399
112,112,earthquake,1989-10-18 19:44:33.320,1.37,Northern California,reviewed,0,29,nc,12.0,0.04414,0.02,114.0,md,-121.9088333,37.1296667,8.219
113,113,earthquake,1989-10-18 19:43:31.960,1.98,Northern California,reviewed,0,60,nc,28.0,0.02793,0.09,56.0,md,-121.9865,37.1741667,6.654
114,114,earthquake,1989-10-18 19:39:16.230,1.34,Northern California,reviewed,0,28,nc,23.0,0.01081,0.04,73.0,md,-121.6758333,36.9313333,10.976
115,115,earthquake,1989-10-18 19:38:51.910,1.5,"San Francisco Bay area, California",reviewed,0,35,nc,9.0,0.08198,0.14,212.0,md,-121.9378333,37.2738333,19.316
116,116,earthquake,1989-10-18 19:34:03.900,1.81,Northern California,reviewed,0,50,nc,37.0,0.008108,0.07,108.0,md,-121.6678333,36.9253333,10.376
117,117,earthquake,1989-10-18 19:31:00.610,1.39,Northern California,reviewed,0,30,nc,10.0,0.04505,0.04,111.0,md,-121.904,37.1308333,7.269
118,118,earthquake,1989-10-18 19:29:26.800,2.14,Northern California,reviewed,0,70,nc,22.0,0.03514,0.13,68.0,md,-121.8776667,37.1173333,2.631
119,119,earthquake,1989-10-18 19:25:13.080,1.93,"Long Valley area, California",reviewed,0,57,nc,13.0,0.008108,0.05,79.0,md,-119.0226667,37.6333333,2.455
120,120,earthquake,1989-10-18 19:21:00.610,2.07,Central California,reviewed,0,66,nc,24.0,0.05586,0.08,139.0,md,-121.5766667,36.854,6.526
121,121,earthquake,1989-10-18 19:18:22.370,2.16,Northern California,reviewed,0,72,nc,48.0,0.02613,0.07,55.0,md,-121.9848333,37.1763333,8.694
122,122,earthquake,1989-10-18 19:15:19.720,1.96,Central California,reviewed,0,59,nc,28.0,0.01622,0.07,90.0,md,-119.0516667,37.6286667,3.573
123,123,earthquake,1989-10-18 19:15:14.810,1.02,Northern California,reviewed,0,16,nc,9.0,0.07207000000000001,0.33,146.0,md,-121.9288333,37.097,1.169
124,124,earthquake,1989-10-18 19:12:49.710,1.83,Northern California,reviewed,0,52,nc,26.0,0.025230000000000002,0.09,47.0,md,-121.8615,37.123,3.841
125,125,earthquake,1989-10-18 19:08:50.630,1.4,Northern California,reviewed,0,30,nc,12.0,0.05045,0.02,92.0,md,-121.8943333,37.0925,10.019
126,126,earthquake,1989-10-18 19:06:48.720,1.58,Central California,reviewed,0,38,nc,20.0,0.05045,0.03,135.0,md,-121.592,36.8626667,7.446
127,127,earthquake,1989-10-18 19:04:52.840,1.5,Northern California,reviewed,0,35,nc,17.0,0.03333,0.03,100.0,md,-121.9573333,37.1428333,9.439
128,128,earthquake,1989-10-18 19:03:16.090,1.84,Northern California,reviewed,0,52,nc,32.0,0.04144,0.09,102.0,md,-121.7891667,37.0891667,7.085
129,129,earthquake,1989-10-18 19:00:22.040,1.54,Northern California,reviewed,0,36,nc,18.0,0.042339999999999996,0.05,94.0,md,-121.9761667,37.1468333,2.189
130,130,earthquake,1989-10-18 18:57:44.940,2.07,Northern California,reviewed,0,66,nc,47.0,0.04775,0.06,63.0,md,-121.9776667,37.1395,13.069
131,131,earthquake,1989-10-18 18:54:16.770,1.73,Northern California,reviewed,0,46,nc,19.0,0.07117000000000001,0.04,94.0,md,-121.7938333,37.046,4.41
132,132,earthquake,1989-10-18 18:52:54.760,1.28,Northern California,reviewed,0,25,nc,19.0,0.05495,0.12,120.0,md,-121.9533333,37.1175,8.599
133,133,earthquake,1989-10-18 18:50:51.190,1.07,Northern California,reviewed,0,18,nc,11.0,0.02793,0.04,98.0,md,-121.9875,37.1738333,6.707
134,134,earthquake,1989-10-18 18:49:51.290,1.15,Northern California,reviewed,0,20,nc,7.0,0.04865,0.04,119.0,md,-121.8923333,37.124,2.221
135,135,earthquake,1989-10-18 18:46:07.260,1.11,Northern California,reviewed,0,19,nc,13.0,0.03784,0.05,95.0,md,-121.9703333,37.1481667,9.249
136,136,earthquake,1989-10-18 18:44:10.380,1.89,Northern California,reviewed,0,55,nc,12.0,0.005405,0.23,74.0,md,-121.7008333,36.95,-0.267
137,137,earthquake,1989-10-18 18:37:14.110,1.93,Northern California,reviewed,0,57,nc,40.0,0.0964,0.05,75.0,md,-121.8178333,37.0135,15.476
138,138,earthquake,1989-10-18 18:34:44.390,2.37,Northern California,reviewed,0,86,nc,46.0,0.02973,0.06,54.0,md,-121.9748333,37.1735,8.664
139,139,earthquake,1989-10-18 18:31:52.270,1.25,Northern California,reviewed,0,24,nc,13.0,0.025230000000000002,0.06,86.0,md,-121.8655,37.115,3.221
140,140,earthquake,1989-10-18 18:30:53.250,1.14,Northern California,reviewed,0,20,nc,22.0,0.03333,0.05,82.0,md,-121.985,37.1685,7.564
141,141,earthquake,1989-10-18 18:28:42.950,1.64,Northern California,reviewed,0,41,nc,11.0,0.007206999999999999,0.05,185.0,md,-122.0216667,37.1671667,16.697
142,142,earthquake,1989-10-18 18:27:19.410,1.76,Northern California,reviewed,0,48,nc,36.0,0.04324,0.05,67.0,md,-121.9905,37.1355,13.339
143,143,earthquake,1989-10-18 18:26:12.220,1.27,Northern California,reviewed,0,25,nc,16.0,0.04324,0.05,67.0,md,-121.9873333,37.1376667,13.149
144,144,earthquake,1989-10-18 18:16:30.150,1.24,Northern California,reviewed,0,24,nc,9.0,0.042339999999999996,0.02,178.0,md,-121.9078333,37.1321667,2.929
145,145,earthquake,1989-10-18 18:11:21.490,1.29,Northern California,reviewed,0,26,nc,12.0,0.009009,0.03,65.0,md,-122.0396667,37.169,11.27
146,146,earthquake,1989-10-18 18:11:06.040,1.13,Northern California,reviewed,0,20,nc,8.0,0.06937,0.04,169.0,md,-121.7955,37.0473333,10.335
147,147,earthquake,1989-10-18 18:07:56.180,2.53,Northern California,reviewed,0,98,nc,12.0,0.07027,0.26,184.0,md,-122.5236667,38.4105,-0.308
148,148,earthquake,1989-10-18 18:06:57.980,3.5,Northern California,reviewed,0,188,nc,47.0,0.01441,0.07,111.0,ml,-121.6718333,36.9436667,6.253
149,149,earthquake,1989-10-18 18:01:03.410,3.8,Northern California,reviewed,0,222,nc,51.0,0.015319999999999999,0.08,107.0,ml,-121.6768333,36.9483333,6.263
150,150,earthquake,1989-10-18 18:00:11.280,1.09,Northern California,reviewed,0,18,nc,6.0,0.06396,0.06,155.0,md,-122.2375,37.365,6.102
151,151,earthquake,1989-10-18 17:57:32.080,1.15,Northern California,reviewed,0,20,nc,13.0,0.06216,0.02,96.0,md,-121.9056667,37.0833333,12.46
152,152,earthquake,1989-10-18 17:56:40.220,1.5,Northern California,reviewed,0,35,nc,7.0,0.06757,0.01,160.0,md,-121.7386667,37.0106667,8.077
153,153,earthquake,1989-10-18 17:50:56.500,1.8,Northern California,reviewed,0,50,nc,25.0,0.07387,0.03,60.0,md,-121.9081667,37.0648333,16.231
154,154,earthquake,1989-10-18 17:47:06.110,1.37,Northern California,reviewed,0,29,nc,10.0,0.025230000000000002,0.03,96.0,md,-121.866,37.1086667,4.381
155,155,earthquake,1989-10-18 17:45:29.550,1.98,Northern California,reviewed,0,60,nc,20.0,0.0045049999999999995,0.06,106.0,md,-121.6893333,36.9516667,8.789
156,156,earthquake,1989-10-18 17:41:25.770,1.38,Northern California,reviewed,0,29,nc,13.0,0.02613,0.04,154.0,md,-121.8668333,37.1051667,5.461
157,157,earthquake,1989-10-18 17:39:41.380,2.57,Northern California,reviewed,0,102,nc,42.0,0.09459,0.06,76.0,md,-121.7566667,37.0378333,5.38
158,158,earthquake,1989-10-18 17:36:36.540,2.15,Central California,reviewed,0,71,nc,13.0,0.2225,0.03,194.0,md,-121.3065,36.854,6.81
159,159,earthquake,1989-10-18 17:36:10.680,1.65,Northern California,reviewed,0,42,nc,27.0,0.08108,0.05,59.0,md,-121.9176667,37.0625,17.241
160,160,earthquake,1989-10-18 17:33:56.390,1.24,Northern California,reviewed,0,24,nc,7.0,0.01441,0.02,155.0,md,-121.8525,37.1071667,3.871
161,161,earthquake,1989-10-18 17:31:05.220,2.68,Central California,reviewed,0,110,nc,33.0,0.2234,0.04,175.0,md,-121.3046667,36.8526667,7.27
162,162,earthquake,1989-10-18 17:29:43.080,2.83,Northern California,reviewed,0,123,nc,51.0,0.0955,0.1,79.0,md,-121.7495,37.0383333,4.59
163,163,earthquake,1989-10-18 17:25:45.700,2.37,Northern California,reviewed,0,86,nc,42.0,0.0964,0.06,77.0,md,-121.7545,37.0368333,5.27
164,164,earthquake,1989-10-18 17:23:49.240,1.37,Northern California,reviewed,0,29,nc,16.0,0.02883,0.02,93.0,md,-121.9606667,37.1526667,8.929
165,165,earthquake,1989-10-18 17:23:20.030,1.64,Northern California,reviewed,0,41,nc,32.0,0.06306,0.03,74.0,md,-121.7585,36.9905,14.644
166,166,earthquake,1989-10-18 17:21:46.450,1.42,Northern California,reviewed,0,31,nc,20.0,0.025230000000000002,0.05,57.0,md,-122.0438333,37.1878333,10.936
