,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
68,68,earthquake,2004-09-28 21:49:23.490,2.94,Central California,reviewed,0,133,nc,56,0.05405,0.04,42.0,md,-120.3313333,35.78,8.408
69,69,earthquake,2004-09-28 21:46:10.720,1.22,Central California,reviewed,0,23,nc,13,0.03243,0.05,102.0,md,-120.4373333,35.8951667,5.059
70,70,earthquake,2004-09-28 21:43:21.380,1.29,Central California,automatic,0,26,nc,8,0.060360000000000004,0.01,151.0,md,-120.3443333,35.7945,8.198
71,71,earthquake,2004-09-28 21:42:18.400,1.5,Central California,reviewed,0,35,nc,14,0.018019999999999998,0.26,72.0,md,-120.5215,35.9478333,-0.625
72,72,earthquake,2004-09-28 21:41:57.460,1.37,Central California,reviewed,0,29,nc,17,0.03333,0.05,99.0,md,-120.474,35.9256667,4.46
73,73,earthquake,2004-09-28 21:39:48.030,1.17,Central California,reviewed,0,21,nc,26,0.02162,0.05,111.0,md,-120.485,35.9368333,4.903
74,74,earthquake,2004-09-28 21:38:18.450,1.12,Central California,reviewed,0,19,nc,15,0.034230000000000003,0.04,102.0,md,-120.4731667,35.927,4.95
75,75,earthquake,2004-09-28 21:35:22.510,1.13,Central California,reviewed,0,20,nc,19,0.019819999999999997,0.03,73.0,md,-120.4173333,35.8663333,3.992
76,76,earthquake,2004-09-28 21:32:09.450,2.03,Central California,reviewed,0,63,nc,31,0.01712,0.06,59.0,md,-120.5276667,35.9673333,4.868
77,77,earthquake,2004-09-28 21:29:20.660,1.8,Central California,automatic,0,50,nc,20,0.02252,0.03,73.0,md,-120.4103333,35.8598333,4.315
78,78,earthquake,2004-09-28 21:29:09.820,1.28,Central California,automatic,0,25,nc,9,0.02072,0.06,185.0,md,-120.4895,35.9333333,4.27
79,79,earthquake,2004-09-28 21:28:21.000,2.18,Central California,reviewed,0,73,nc,50,0.01892,0.05,53.0,md,-120.478,35.9276667,5.484
80,80,earthquake,2004-09-28 21:26:02.520,1.2,Central California,automatic,0,22,nc,13,0.02072,0.03,85.0,md,-120.4268333,35.8788333,5.007
81,81,earthquake,2004-09-28 21:24:46.160,1.07,Central California,automatic,0,18,nc,12,0.034230000000000003,0.03,82.0,md,-120.3646667,35.8163333,9.289
82,82,earthquake,2004-09-28 21:22:18.890,1.35,Central California,automatic,0,28,nc,16,0.04955,0.04,77.0,md,-120.3316667,35.7848333,8.547
83,83,earthquake,2004-09-28 21:20:47.625,1.2,Central California,reviewed,0,22,nn,8,0.03,0.0926,110.49,ml,-118.7306,37.9954,6.7
84,84,earthquake,2004-09-28 21:20:38.330,2.08,Central California,reviewed,0,67,nc,48,0.02072,0.04,40.0,md,-120.426,35.8756667,5.126
85,85,earthquake,2004-09-28 21:20:09.860,1.39,Central California,automatic,0,30,nc,19,0.01441,0.06,107.0,md,-120.5165,35.9566667,7.895
86,86,earthquake,2004-09-28 21:18:42.140,1.12,Central California,reviewed,0,19,nc,18,0.02072,0.03,79.0,md,-120.4263333,35.876,5.232
87,87,earthquake,2004-09-28 21:17:02.310,1.67,Central California,reviewed,0,43,nc,12,0.01171,0.07,86.0,md,-120.5055,35.9481667,5.036
88,88,earthquake,2004-09-28 21:14:57.970,2.02,Central California,automatic,0,63,nc,18,0.02252,0.04,115.0,md,-120.5625,36.002,1.72
